ID,SystemCodeNumber,LotID,DateTime,Capacity,Occupancy,OccupancyRate,QueueLength,VehicleType,TrafficConditionNearby,IsSpecialDay,Hour,Model1_Price,Model2_Price,Model3_Price,Routing_Suggestion
0,BHMBCCMKT01,0,2016-10-04 07:59:00,577,61,10.571923743500866,1,car,low,0,7,10.211438474870018,10.780387410736923,10.780387410736923,
1,BHMBCCMKT01,0,2016-10-04 08:25:00,577,64,11.091854419410744,1,car,low,0,8,10.433275563258233,11.582533283303857,11.582533283303857,
2,BHMBCCMKT01,0,2016-10-04 08:59:00,577,80,13.864818024263432,2,car,low,0,8,10.710571923743501,11.841019982700558,11.841019982700558,
3,BHMBCCMKT01,0,2016-10-04 09:32:00,577,107,18.544194107452338,2,car,low,0,9,11.081455805892547,12.017301175717833,12.017301175717833,
4,BHMBCCMKT01,0,2016-10-04 09:59:00,577,150,25.99653379549394,2,bike,low,0,9,11.601386481802425,12.183112321843794,12.183112321843794,
5,BHMBCCMKT01,0,2016-10-04 10:26:00,577,177,30.675909878682845,3,car,low,0,10,12.214904679376081,12.608239654667216,12.608239654667216,
6,BHMBCCMKT01,0,2016-10-04 10:59:00,577,219,37.954939341421145,6,truck,high,0,10,12.974003466204504,14.351747861061476,14.351747861061476,
7,BHMBCCMKT01,0,2016-10-04 11:25:00,577,247,42.80762564991335,5,car,average,0,11,13.830155979202772,13.784684289377683,13.784684289377683,
8,BHMBCCMKT01,0,2016-10-04 11:59:00,577,259,44.88734835355286,5,cycle,average,0,11,14.72790294627383,13.6933925505199,13.6933925505199,
9,BHMBCCMKT01,0,2016-10-04 12:29:00,577,266,46.10051993067591,8,bike,high,0,12,15.649913344887347,14.576065725319605,14.576065725319605,
10,BHMBCCMKT01,0,2016-10-04 13:02:00,577,269,46.62045060658579,7,car,high,0,13,16.582322357019063,14.563128234347452,14.563128234347452,
11,BHMBCCMKT01,0,2016-10-04 13:29:00,577,263,45.58058925476603,7,car,high,0,13,17.493934142114384,14.534983151952767,14.534983151952767,
12,BHMBCCMKT01,0,2016-10-04 14:02:00,577,238,41.24783362218371,5,car,high,0,14,18.318890814558056,14.188523995956487,14.188523995956487,
13,BHMBCCMKT01,0,2016-10-04 14:29:00,577,215,37.26169844020797,3,truck,average,0,14,19.064124783362217,13.514047565496776,13.514047565496776,
14,BHMBCCMKT01,0,2016-10-04 14:57:00,577,192,33.27556325823224,3,bike,average,0,14,19.729636048526864,13.11713553808368,13.11713553808368,
15,BHMBCCMKT01,0,2016-10-04 15:30:00,577,165,28.59618717504333,2,car,low,0,15,20.0,12.38879333041259,12.38879333041259,
16,BHMBCCMKT01,0,2016-10-04 16:04:00,577,162,28.07625649913345,1,bike,low,0,16,20.0,12.111836671212203,12.111836671212203,
17,BHMBCCMKT01,0,2016-10-04 16:31:00,577,143,24.783362218370883,2,car,average,0,16,20.0,12.789275135524289,12.789275135524289,
18,BHMBCCMKT01,0,2016-10-05 07:57:00,577,54,9.358752166377815,1,car,low,0,7,20.0,10.732294447033874,10.732294447033874,
19,BHMBCCMKT01,0,2016-10-05 08:30:00,577,59,10.22530329289428,1,car,average,0,8,20.0,12.117381996674482,12.117381996674482,
20,BHMBCCMKT01,0,2016-10-05 09:04:00,577,71,12.305025996533796,2,car,low,0,9,20.0,11.781827445733555,11.781827445733555,
